year,industry1,industry2,industry3,incidence_of_retrenchment
2018,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",8.7
2018,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",6.1
2018,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",10.7
2018,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",8.6
2018,manufacturing,transport equipment,transport equipment,4.2
2018,manufacturing,other manufacturing industries,other manufacturing industries,5.1
2018,construction,construction,construction,4.1
2018,services,wholesale and retail trade,wholesale trade,9.6
2018,services,wholesale and retail trade,retail trade,2.7
2018,services,transportation and storage,land transport and supporting services,4.8
2018,services,transportation and storage,water transport and supporting services,5.2
2018,services,transportation and storage,air transport and supporting services,0.7
2018,services,transportation and storage,other transportation services,5.9
2018,services,accommodation and food services,accommodation,0.6
2018,services,accommodation and food services,food and beverage services,2.9
2018,services,information and communications,"telecommunications, broadcasting and publishing",23.1
2018,services,information and communications,it and other information services,8.2
2018,services,financial and insurance services,financial services,10.5
2018,services,financial and insurance services,insurance services,4.2
2018,services,real estate services,real estate services,1.9
2018,services,professional services,"legal, accounting and management services",9.4
2018,services,professional services,architectural and engineering services,6.9
2018,services,professional services,other professional services,8.8
2018,services,administrative and support services,security and investigation,0.4
2018,services,administrative and support services,cleaning and landscaping,0.5
2018,services,administrative and support services,other adminstrative and support services,3.6
2018,services,"community, social and personal services",public administration and education,0.5
2018,services,"community, social and personal services",health and social services,0.2
2018,services,"community, social and personal services","arts, entertainment and recreation",3.2
2018,services,"community, social and personal services","other community, social and personal services",1.3
2018,others,others,others,-
2019,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",3
2019,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",9.3
2019,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",6.6
2019,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",8.9
2019,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",15.3
2019,manufacturing,transport equipment,transport equipment,1.7
2019,manufacturing,other manufacturing industries,other manufacturing industries,10
2019,construction,construction,construction,3.1
2019,services,wholesale and retail trade,wholesale trade,11.3
2019,services,wholesale and retail trade,retail trade,3.2
2019,services,transportation and storage,land transport and supporting services,1.4
2019,services,transportation and storage,water transport and supporting services,2.7
2019,services,transportation and storage,air transport and supporting services,1.7
2019,services,transportation and storage,other transportation services,11.9
2019,services,accommodation and food services,accommodation,0.8
2019,services,accommodation and food services,food and beverage services,1.3
2019,services,information and communications,"telecommunications, broadcasting and publishing",11
2019,services,information and communications,it and other information services,6.8
2019,services,financial and insurance services,financial services,9.2
2019,services,financial and insurance services,insurance services,5.2
2019,services,real estate services,real estate services,4.7
2019,services,professional services,"legal, accounting and management services",9.7
2019,services,professional services,architectural and engineering services,7.6
2019,services,professional services,other professional services,11.1
2019,services,administrative and support services,security and investigation,0.2
2019,services,administrative and support services,cleaning and landscaping,0.8
2019,services,administrative and support services,other adminstrative and support services,4.3
2019,services,"community, social and personal services",public administration and education,0.5
