quarter,industry1,industry2,industry3,overtime_paid_hours
1993-Q3,services,wholesale and retail trade,retail trade,2.6
1993-Q3,services,hotels and restaurants,hotels,2
1993-Q3,services,hotels and restaurants,restaurants,0.9
1993-Q3,services,"transport, storage and communications","transport, storage and communications",3.8
1993-Q3,services,financial intermediation,financial institutions,1.6
1993-Q3,services,financial intermediation,insurance and pension funding,1
1993-Q3,services,business and real estate services,business and real estate services,2.7
1993-Q3,services,"community, social and personal services","community, social and personal services",1.1
1993-Q3,others,others,others,1.5
1993-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",4.1
1993-Q4,manufacturing,textile and wearing apparel,textile and wearing apparel,5.9
1993-Q4,manufacturing,paper products and publishing,paper products and publishing,6.5
1993-Q4,manufacturing,petroleum and chemical products,petroleum and chemical products,5.2
1993-Q4,manufacturing,rubber and plastic products,rubber and plastic products,6.4
1993-Q4,manufacturing,fabricated metal products,fabricated metal products,6.7
1993-Q4,manufacturing,machinery and equipment,machinery and equipment,6.6
1993-Q4,manufacturing,electrical products,electrical products,5.3
1993-Q4,manufacturing,electronic products,electronic products,4.8
1993-Q4,manufacturing,medical and precision instruments,medical and precision instruments,3.9
1993-Q4,manufacturing,transport equipment,transport equipment,8.9
1993-Q4,manufacturing,other manufacturing industries,other manufacturing industries,6.3
1993-Q4,construction,construction,construction,5.7
1993-Q4,services,wholesale and retail trade,wholesale trade,2
1993-Q4,services,wholesale and retail trade,retail trade,2.4
1993-Q4,services,hotels and restaurants,hotels,2.1
1993-Q4,services,hotels and restaurants,restaurants,0.8
1993-Q4,services,"transport, storage and communications","transport, storage and communications",3.9
1993-Q4,services,financial intermediation,financial institutions,1.9
1993-Q4,services,financial intermediation,insurance and pension funding,1.1
1993-Q4,services,business and real estate services,business and real estate services,2.6
1993-Q4,services,"community, social and personal services","community, social and personal services",1.1
1993-Q4,others,others,others,1.6
1994-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",3.7
1994-Q1,manufacturing,textile and wearing apparel,textile and wearing apparel,5
1994-Q1,manufacturing,paper products and publishing,paper products and publishing,6.7
1994-Q1,manufacturing,petroleum and chemical products,petroleum and chemical products,5.4
1994-Q1,manufacturing,rubber and plastic products,rubber and plastic products,6.7
1994-Q1,manufacturing,fabricated metal products,fabricated metal products,7.6
1994-Q1,manufacturing,machinery and equipment,machinery and equipment,7.1
1994-Q1,manufacturing,electrical products,electrical products,6.3
1994-Q1,manufacturing,electronic products,electronic products,5.9
1994-Q1,manufacturing,medical and precision instruments,medical and precision instruments,4.9
1994-Q1,manufacturing,transport equipment,transport equipment,8.6
1994-Q1,manufacturing,other manufacturing industries,other manufacturing industries,6.5
1994-Q1,construction,construction,construction,5.8
1994-Q1,services,wholesale and retail trade,wholesale trade,2
1994-Q1,services,wholesale and retail trade,retail trade,2.2
1994-Q1,services,hotels and restaurants,hotels,2.1
1994-Q1,services,hotels and restaurants,restaurants,0.9
1994-Q1,services,"transport, storage and communications","transport, storage and communications",3.9
1994-Q1,services,financial intermediation,financial institutions,1.5
1994-Q1,services,financial intermediation,insurance and pension funding,0.9
1994-Q1,services,business and real estate services,business and real estate services,2.6
1994-Q1,services,"community, social and personal services","community, social and personal services",1
1994-Q1,others,others,others,1.3
1994-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",4
1994-Q2,manufacturing,textile and wearing apparel,textile and wearing apparel,5.6
1994-Q2,manufacturing,paper products and publishing,paper products and publishing,7.5
1994-Q2,manufacturing,petroleum and chemical products,petroleum and chemical products,5.9
1994-Q2,manufacturing,rubber and plastic products,rubber and plastic products,7.5
1994-Q2,manufacturing,fabricated metal products,fabricated metal products,8.4
1994-Q2,manufacturing,machinery and equipment,machinery and equipment,8
1994-Q2,manufacturing,electrical products,electrical products,7.4
1994-Q2,manufacturing,electronic products,electronic products,6.8
1994-Q2,manufacturing,medical and precision instruments,medical and precision instruments,5.5
1994-Q2,manufacturing,transport equipment,transport equipment,9.4
1994-Q2,manufacturing,other manufacturing industries,other manufacturing industries,7
1994-Q2,construction,construction,construction,6.5
1994-Q2,services,wholesale and retail trade,wholesale trade,2.2
1994-Q2,services,wholesale and retail trade,retail trade,2.4
1994-Q2,services,hotels and restaurants,hotels,2.1
1994-Q2,services,hotels and restaurants,restaurants,1
1994-Q2,services,"transport, storage and communications","transport, storage and communications",4
1994-Q2,services,financial intermediation,financial institutions,1.3
1994-Q2,services,financial intermediation,insurance and pension funding,1
1994-Q2,services,business and real estate services,business and real estate services,2.7
1994-Q2,services,"community, social and personal services","community, social and personal services",1.3
1994-Q2,others,others,others,1.6
1994-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",4
1994-Q3,manufacturing,textile and wearing apparel,textile and wearing apparel,5.1
1994-Q3,manufacturing,paper products and publishing,paper products and publishing,7
1994-Q3,manufacturing,petroleum and chemical products,petroleum and chemical products,5.7
1994-Q3,manufacturing,rubber and plastic products,rubber and plastic products,7.4
1994-Q3,manufacturing,fabricated metal products,fabricated metal products,8
1994-Q3,manufacturing,machinery and equipment,machinery and equipment,7.6
1994-Q3,manufacturing,electrical products,electrical products,8.1
1994-Q3,manufacturing,electronic products,electronic products,6
1994-Q3,manufacturing,medical and precision instruments,medical and precision instruments,4.8
1994-Q3,manufacturing,transport equipment,transport equipment,8.6
1994-Q3,manufacturing,other manufacturing industries,other manufacturing industries,7.2
1994-Q3,construction,construction,construction,6.2
1994-Q3,services,wholesale and retail trade,wholesale trade,2
1994-Q3,services,wholesale and retail trade,retail trade,2.5
1994-Q3,services,hotels and restaurants,hotels,2.2
1994-Q3,services,hotels and restaurants,restaurants,1
1994-Q3,services,"transport, storage and communications","transport, storage and communications",3.6
1994-Q3,services,financial intermediation,financial institutions,1.5
1994-Q3,services,financial intermediation,insurance and pension funding,1
1994-Q3,services,business and real estate services,business and real estate services,2.4
1994-Q3,services,"community, social and personal services","community, social and personal services",1.1
1994-Q3,others,others,others,1.3
1994-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",3.7
1994-Q4,manufacturing,textile and wearing apparel,textile and wearing apparel,6
1994-Q4,manufacturing,paper products and publishing,paper products and publishing,6.4
1994-Q4,manufacturing,petroleum and chemical products,petroleum and chemical products,5.7
1994-Q4,manufacturing,rubber and plastic products,rubber and plastic products,7.5
1994-Q4,manufacturing,fabricated metal products,fabricated metal products,8
1994-Q4,manufacturing,machinery and equipment,machinery and equipment,7.4
1994-Q4,manufacturing,electrical products,electrical products,7
1994-Q4,manufacturing,electronic products,electronic products,5.5
1994-Q4,manufacturing,medical and precision instruments,medical and precision instruments,5.1
1994-Q4,manufacturing,transport equipment,transport equipment,8.3
1994-Q4,manufacturing,other manufacturing industries,other manufacturing industries,6.4
1994-Q4,construction,construction,construction,6.1
1994-Q4,services,wholesale and retail trade,wholesale trade,1.9
1994-Q4,services,wholesale and retail trade,retail trade,2.4
1994-Q4,services,hotels and restaurants,hotels,2.1
1994-Q4,services,hotels and restaurants,restaurants,0.8
1994-Q4,services,"transport, storage and communications","transport, storage and communications",3.8
1994-Q4,services,financial intermediation,financial institutions,1.2
1994-Q4,services,financial intermediation,insurance and pension funding,0.9
1994-Q4,services,business and real estate services,business and real estate services,2.5
1994-Q4,services,"community, social and personal services","community, social and personal services",1.1
1994-Q4,others,others,others,1.5
1995-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",3.2
1995-Q1,manufacturing,textile and wearing apparel,textile and wearing apparel,5
1995-Q1,manufacturing,paper products and publishing,paper products and publishing,7.1
1995-Q1,manufacturing,petroleum and chemical products,petroleum and chemical products,5.6
1995-Q1,manufacturing,rubber and plastic products,rubber and plastic products,7.3
