quarter,industry1,industry2,industry3,overtime_paid_hours
2001-Q1,manufacturing,electronic products,electronic products,3.8
2001-Q1,manufacturing,medical and precision instruments,medical and precision instruments,5
2001-Q1,manufacturing,transport equipment,transport equipment,11.7
2001-Q1,manufacturing,other manufacturing industries,other manufacturing industries,6.3
2001-Q1,construction,construction,construction,6.7
2001-Q1,services,wholesale and retail trade,wholesale trade,1.7
2001-Q1,services,wholesale and retail trade,retail trade,2.1
2001-Q1,services,transport and storage,land transport and supporting services,6.5
2001-Q1,services,transport and storage,water transport and supporting services,2
2001-Q1,services,transport and storage,air transport and supporting services,1.8
2001-Q1,services,transport and storage,other transport and storage services,4.8
2001-Q1,services,hotels and restaurants,hotels,2.6
2001-Q1,services,hotels and restaurants,restaurants,0.7
2001-Q1,services,information and communications,broadcasting and publishing,0.6
2001-Q1,services,information and communications,telecommunications,1
2001-Q1,services,information and communications,it and other information services,0.1
2001-Q1,services,financial services,financial institutions,1
2001-Q1,services,financial services,insurance,1.1
2001-Q1,services,real estate and leasing services,real estate and leasing services,1.9
2001-Q1,services,professional services,"legal, accounting and management services",1
2001-Q1,services,professional services,architectural and engineering services,4
2001-Q1,services,professional services,other professional services,0.9
2001-Q1,services,administrative and support services,administrative and support services,6.2
2001-Q1,services,"community, social and personal services",education,0.8
2001-Q1,services,"community, social and personal services","health, social and community services",0.6
2001-Q1,services,"community, social and personal services","other community, social and personal services",1.8
2001-Q1,others,others,others,3.8
2001-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",4
2001-Q2,manufacturing,paper products and printing,paper products and printing,6.2
2001-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",3.3
2001-Q2,manufacturing,rubber and plastic products,rubber and plastic products,5.2
2001-Q2,manufacturing,fabricated metal products,fabricated metal products,6.1
2001-Q2,manufacturing,machinery and equipment,machinery and equipment,7.1
2001-Q2,manufacturing,electrical products,electrical products,4.8
2001-Q2,manufacturing,electronic products,electronic products,3.9
2001-Q2,manufacturing,medical and precision instruments,medical and precision instruments,4.5
2001-Q2,manufacturing,transport equipment,transport equipment,10.3
2001-Q2,manufacturing,other manufacturing industries,other manufacturing industries,5.9
2001-Q2,construction,construction,construction,6.7
2001-Q2,services,wholesale and retail trade,wholesale trade,1.6
2001-Q2,services,wholesale and retail trade,retail trade,1.9
2001-Q2,services,transport and storage,land transport and supporting services,6.6
2001-Q2,services,transport and storage,water transport and supporting services,2.1
2001-Q2,services,transport and storage,air transport and supporting services,1.4
2001-Q2,services,transport and storage,other transport and storage services,4.1
2001-Q2,services,hotels and restaurants,hotels,2.2
2001-Q2,services,hotels and restaurants,restaurants,0.6
2001-Q2,services,information and communications,broadcasting and publishing,0.7
2001-Q2,services,information and communications,telecommunications,1.1
2001-Q2,services,information and communications,it and other information services,0.2
2001-Q2,services,financial services,financial institutions,1
2001-Q2,services,financial services,insurance,0.9
2001-Q2,services,real estate and leasing services,real estate and leasing services,1.6
2001-Q2,services,professional services,"legal, accounting and management services",0.7
2001-Q2,services,professional services,architectural and engineering services,3.8
2001-Q2,services,professional services,other professional services,0.4
2001-Q2,services,administrative and support services,administrative and support services,6.5
2001-Q2,services,"community, social and personal services",education,0.8
2001-Q2,services,"community, social and personal services","health, social and community services",0.5
2001-Q2,services,"community, social and personal services","other community, social and personal services",1.9
2001-Q2,others,others,others,5.8
2001-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",3.5
2001-Q3,manufacturing,paper products and printing,paper products and printing,5.6
2001-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",2.8
2001-Q3,manufacturing,rubber and plastic products,rubber and plastic products,5.3
2001-Q3,manufacturing,fabricated metal products,fabricated metal products,6.9
2001-Q3,manufacturing,machinery and equipment,machinery and equipment,5.8
2001-Q3,manufacturing,electrical products,electrical products,4.4
2001-Q3,manufacturing,electronic products,electronic products,3.4
2001-Q3,manufacturing,medical and precision instruments,medical and precision instruments,4.2
2001-Q3,manufacturing,transport equipment,transport equipment,10.1
2001-Q3,manufacturing,other manufacturing industries,other manufacturing industries,6.1
2001-Q3,construction,construction,construction,6.1
2001-Q3,services,wholesale and retail trade,wholesale trade,1.7
2001-Q3,services,wholesale and retail trade,retail trade,1.7
2001-Q3,services,transport and storage,land transport and supporting services,5.6
2001-Q3,services,transport and storage,water transport and supporting services,1.9
2001-Q3,services,transport and storage,air transport and supporting services,1.2
2001-Q3,services,transport and storage,other transport and storage services,3.9
2001-Q3,services,hotels and restaurants,hotels,1.4
2001-Q3,services,hotels and restaurants,restaurants,0.9
2001-Q3,services,information and communications,broadcasting and publishing,0.8
2001-Q3,services,information and communications,telecommunications,1
2001-Q3,services,information and communications,it and other information services,0.2
2001-Q3,services,financial services,financial institutions,0.8
2001-Q3,services,financial services,insurance,0.7
2001-Q3,services,real estate and leasing services,real estate and leasing services,1.9
2001-Q3,services,professional services,"legal, accounting and management services",0.8
2001-Q3,services,professional services,architectural and engineering services,4.6
2001-Q3,services,professional services,other professional services,0.5
2001-Q3,services,administrative and support services,administrative and support services,5.2
2001-Q3,services,"community, social and personal services",education,0.6
2001-Q3,services,"community, social and personal services","health, social and community services",0.5
2001-Q3,services,"community, social and personal services","other community, social and personal services",1.4
2001-Q3,others,others,others,3.7
2001-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",4.2
2001-Q4,manufacturing,paper products and printing,paper products and printing,5.4
2001-Q4,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",2.6
2001-Q4,manufacturing,rubber and plastic products,rubber and plastic products,5.3
2001-Q4,manufacturing,fabricated metal products,fabricated metal products,6.6
2001-Q4,manufacturing,machinery and equipment,machinery and equipment,5.6
2001-Q4,manufacturing,electrical products,electrical products,4.5
2001-Q4,manufacturing,electronic products,electronic products,3.8
2001-Q4,manufacturing,medical and precision instruments,medical and precision instruments,4.1
2001-Q4,manufacturing,transport equipment,transport equipment,9
2001-Q4,manufacturing,other manufacturing industries,other manufacturing industries,5.6
2001-Q4,construction,construction,construction,5.7
2001-Q4,services,wholesale and retail trade,wholesale trade,1.7
2001-Q4,services,wholesale and retail trade,retail trade,1.8
2001-Q4,services,transport and storage,land transport and supporting services,7.2
2001-Q4,services,transport and storage,water transport and supporting services,1.5
2001-Q4,services,transport and storage,air transport and supporting services,0.3
2001-Q4,services,transport and storage,other transport and storage services,3.3
2001-Q4,services,hotels and restaurants,hotels,1
2001-Q4,services,hotels and restaurants,restaurants,0.7
2001-Q4,services,information and communications,broadcasting and publishing,0.8
2001-Q4,services,information and communications,telecommunications,0.8
2001-Q4,services,information and communications,it and other information services,0.1
2001-Q4,services,financial services,financial institutions,0.7
2001-Q4,services,financial services,insurance,0.8
2001-Q4,services,real estate and leasing services,real estate and leasing services,1.7
2001-Q4,services,professional services,"legal, accounting and management services",0.7
2001-Q4,services,professional services,architectural and engineering services,4.1
2001-Q4,services,professional services,other professional services,0.8
2001-Q4,services,administrative and support services,administrative and support services,5.1
2001-Q4,services,"community, social and personal services",education,0.3
2001-Q4,services,"community, social and personal services","health, social and community services",0.4
2001-Q4,services,"community, social and personal services","other community, social and personal services",1.2
2001-Q4,others,others,others,4
2002-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",4.2
2002-Q1,manufacturing,paper products and printing,paper products and printing,5.7
2002-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",3.2
2002-Q1,manufacturing,rubber and plastic products,rubber and plastic products,6
2002-Q1,manufacturing,fabricated metal products,fabricated metal products,7.6
2002-Q1,manufacturing,machinery and equipment,machinery and equipment,6.4
2002-Q1,manufacturing,electrical products,electrical products,5.4
2002-Q1,manufacturing,electronic products,electronic products,4
2002-Q1,manufacturing,medical and precision instruments,medical and precision instruments,4.5
2002-Q1,manufacturing,transport equipment,transport equipment,8.4
2002-Q1,manufacturing,other manufacturing industries,other manufacturing industries,4.9
2002-Q1,construction,construction,construction,5.9
2002-Q1,services,wholesale and retail trade,wholesale trade,1.8
2002-Q1,services,wholesale and retail trade,retail trade,1.8
2002-Q1,services,transport and storage,land transport and supporting services,7.2
2002-Q1,services,transport and storage,water transport and supporting services,1.6
2002-Q1,services,transport and storage,air transport and supporting services,1.1
2002-Q1,services,transport and storage,other transport and storage services,3.8
2002-Q1,services,hotels and restaurants,hotels,1.2
2002-Q1,services,hotels and restaurants,restaurants,0.7
2002-Q1,services,information and communications,broadcasting and publishing,0.5
2002-Q1,services,information and communications,telecommunications,0.7
2002-Q1,services,information and communications,it and other information services,0.1
2002-Q1,services,financial services,financial institutions,0.8
2002-Q1,services,financial services,insurance,0.9
2002-Q1,services,real estate and leasing services,real estate and leasing services,1.9
2002-Q1,services,professional services,"legal, accounting and management services",0.6
2002-Q1,services,professional services,architectural and engineering services,4.5
2002-Q1,services,professional services,other professional services,0.8
2002-Q1,services,administrative and support services,administrative and support services,5.8
2002-Q1,services,"community, social and personal services",education,0.3
2002-Q1,services,"community, social and personal services","health, social and community services",0.5
2002-Q1,services,"community, social and personal services","other community, social and personal services",1.6
2002-Q1,others,others,others,3.2
2002-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",3.8
2002-Q2,manufacturing,paper products and printing,paper products and printing,6.3
2002-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",3.3
2002-Q2,manufacturing,rubber and plastic products,rubber and plastic products,7
2002-Q2,manufacturing,fabricated metal products,fabricated metal products,7.5
2002-Q2,manufacturing,machinery and equipment,machinery and equipment,7.3
2002-Q2,manufacturing,electrical products,electrical products,5.3
2002-Q2,manufacturing,electronic products,electronic products,4.4
2002-Q2,manufacturing,medical and precision instruments,medical and precision instruments,4.8
2002-Q2,manufacturing,transport equipment,transport equipment,9.3
2002-Q2,manufacturing,other manufacturing industries,other manufacturing industries,6.3
2002-Q2,construction,construction,construction,6.1
2002-Q2,services,wholesale and retail trade,wholesale trade,1.7
2002-Q2,services,wholesale and retail trade,retail trade,1.7
2002-Q2,services,transport and storage,land transport and supporting services,6.2
2002-Q2,services,transport and storage,water transport and supporting services,1.6
2002-Q2,services,transport and storage,air transport and supporting services,0.3
2002-Q2,services,transport and storage,other transport and storage services,3.9
2002-Q2,services,hotels and restaurants,hotels,0.9
2002-Q2,services,hotels and restaurants,restaurants,0.9
2002-Q2,services,information and communications,broadcasting and publishing,0.6
2002-Q2,services,information and communications,telecommunications,0.7
2002-Q2,services,information and communications,it and other information services,-
2002-Q2,services,financial services,financial institutions,0.7
2002-Q2,services,financial services,insurance,0.8
2002-Q2,services,real estate and leasing services,real estate and leasing services,1.8
2002-Q2,services,professional services,"legal, accounting and management services",0.6
2002-Q2,services,professional services,architectural and engineering services,4.9
2002-Q2,services,professional services,other professional services,0.8
2002-Q2,services,administrative and support services,administrative and support services,6.2
2002-Q2,services,"community, social and personal services",education,0.3
2002-Q2,services,"community, social and personal services","health, social and community services",0.5
2002-Q2,services,"community, social and personal services","other community, social and personal services",1.7
2002-Q2,others,others,others,3.9
2002-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",4
2002-Q3,manufacturing,paper products and printing,paper products and printing,6.5
2002-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",3.1
2002-Q3,manufacturing,rubber and plastic products,rubber and plastic products,6.3
2002-Q3,manufacturing,fabricated metal products,fabricated metal products,7.6
2002-Q3,manufacturing,machinery and equipment,machinery and equipment,7
2002-Q3,manufacturing,electrical products,electrical products,5.8
2002-Q3,manufacturing,electronic products,electronic products,5.3
2002-Q3,manufacturing,medical and precision instruments,medical and precision instruments,4.7
2002-Q3,manufacturing,transport equipment,transport equipment,8.9
2002-Q3,manufacturing,other manufacturing industries,other manufacturing industries,6.8
2002-Q3,construction,construction,construction,6.2
2002-Q3,services,wholesale and retail trade,wholesale trade,1.9
2002-Q3,services,wholesale and retail trade,retail trade,1.6
2002-Q3,services,transport and storage,land transport and supporting services,5.6
2002-Q3,services,transport and storage,water transport and supporting services,1.9
2002-Q3,services,transport and storage,air transport and supporting services,0.3
2002-Q3,services,transport and storage,other transport and storage services,3.9
2002-Q3,services,hotels and restaurants,hotels,1.4
2002-Q3,services,hotels and restaurants,restaurants,0.8
2002-Q3,services,information and communications,broadcasting and publishing,0.7
2002-Q3,services,information and communications,telecommunications,0.8
2002-Q3,services,information and communications,it and other information services,0.2
2002-Q3,services,financial services,financial institutions,0.7
2002-Q3,services,financial services,insurance,0.6
2002-Q3,services,real estate and leasing services,real estate and leasing services,1.7
2002-Q3,services,professional services,"legal, accounting and management services",0.7
2002-Q3,services,professional services,architectural and engineering services,3.7
2002-Q3,services,professional services,other professional services,0.6
2002-Q3,services,administrative and support services,administrative and support services,5.2
2002-Q3,services,"community, social and personal services",education,0.5
2002-Q3,services,"community, social and personal services","health, social and community services",0.5
2002-Q3,services,"community, social and personal services","other community, social and personal services",1.3
2002-Q3,others,others,others,3.4
2002-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",5
2002-Q4,manufacturing,paper products and printing,paper products and printing,7
2002-Q4,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",3.1
2002-Q4,manufacturing,rubber and plastic products,rubber and plastic products,5.7
2002-Q4,manufacturing,fabricated metal products,fabricated metal products,7.5
2002-Q4,manufacturing,machinery and equipment,machinery and equipment,6.5
2002-Q4,manufacturing,electrical products,electrical products,5.1
2002-Q4,manufacturing,electronic products,electronic products,5.2
2002-Q4,manufacturing,medical and precision instruments,medical and precision instruments,5.5
2002-Q4,manufacturing,transport equipment,transport equipment,8.5
2002-Q4,manufacturing,other manufacturing industries,other manufacturing industries,5.9
2002-Q4,construction,construction,construction,6
2002-Q4,services,wholesale and retail trade,wholesale trade,1.9
2002-Q4,services,wholesale and retail trade,retail trade,1.8
2002-Q4,services,transport and storage,land transport and supporting services,6.6
2002-Q4,services,transport and storage,water transport and supporting services,1.6
2002-Q4,services,transport and storage,air transport and supporting services,0.4
2002-Q4,services,transport and storage,other transport and storage services,3.5
2002-Q4,services,hotels and restaurants,hotels,1.2
2002-Q4,services,hotels and restaurants,restaurants,0.7
2002-Q4,services,information and communications,broadcasting and publishing,0.6
2002-Q4,services,information and communications,telecommunications,0.8
2002-Q4,services,information and communications,it and other information services,0.2
2002-Q4,services,financial services,financial institutions,0.7
2002-Q4,services,financial services,insurance,0.8
2002-Q4,services,real estate and leasing services,real estate and leasing services,1.8
2002-Q4,services,professional services,"legal, accounting and management services",0.7
2002-Q4,services,professional services,architectural and engineering services,3.5
2002-Q4,services,professional services,other professional services,0.2
2002-Q4,services,administrative and support services,administrative and support services,6.1
2002-Q4,services,"community, social and personal services",education,0.3
2002-Q4,services,"community, social and personal services","health, social and community services",0.5
2002-Q4,services,"community, social and personal services","other community, social and personal services",1.3
2002-Q4,others,others,others,3.1
2003-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",4.5
2003-Q1,manufacturing,paper products and printing,paper products and printing,6.8
2003-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",3
2003-Q1,manufacturing,rubber and plastic products,rubber and plastic products,6.1
2003-Q1,manufacturing,fabricated metal products,fabricated metal products,7.7
2003-Q1,manufacturing,machinery and equipment,machinery and equipment,6.6
2003-Q1,manufacturing,electrical products,electrical products,4.9
2003-Q1,manufacturing,electronic products,electronic products,4.9
2003-Q1,manufacturing,medical and precision instruments,medical and precision instruments,5.5
2003-Q1,manufacturing,transport equipment,transport equipment,8.7
2003-Q1,manufacturing,other manufacturing industries,other manufacturing industries,4.7
2003-Q1,construction,construction,construction,6.1
2003-Q1,services,wholesale and retail trade,wholesale trade,1.9
2003-Q1,services,wholesale and retail trade,retail trade,1.9
2003-Q1,services,transport and storage,land transport and supporting services,5.3
2003-Q1,services,transport and storage,water transport and supporting services,1.8
2003-Q1,services,transport and storage,air transport and supporting services,0.4
2003-Q1,services,transport and storage,other transport and storage services,3.9
2003-Q1,services,hotels and restaurants,hotels,1.3
2003-Q1,services,hotels and restaurants,restaurants,0.5
2003-Q1,services,information and communications,broadcasting and publishing,0.5
2003-Q1,services,information and communications,telecommunications,0.8
2003-Q1,services,information and communications,it and other information services,0.1
2003-Q1,services,financial services,financial institutions,0.7
2003-Q1,services,financial services,insurance,0.5
2003-Q1,services,real estate and leasing services,real estate and leasing services,1.9
2003-Q1,services,professional services,"legal, accounting and management services",0.7
2003-Q1,services,professional services,architectural and engineering services,3.8
2003-Q1,services,professional services,other professional services,0.2
2003-Q1,services,administrative and support services,administrative and support services,5.3
2003-Q1,services,"community, social and personal services",education,0.3
2003-Q1,services,"community, social and personal services","health, social and community services",0.6
2003-Q1,services,"community, social and personal services","other community, social and personal services",1.2
2003-Q1,others,others,others,2.9
2003-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",4.6
2003-Q2,manufacturing,paper products and printing,paper products and printing,7
2003-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",3.3
2003-Q2,manufacturing,rubber and plastic products,rubber and plastic products,6.1
2003-Q2,manufacturing,fabricated metal products,fabricated metal products,7.1
2003-Q2,manufacturing,machinery and equipment,machinery and equipment,7.4
2003-Q2,manufacturing,electrical products,electrical products,5
2003-Q2,manufacturing,electronic products,electronic products,4
2003-Q2,manufacturing,medical and precision instruments,medical and precision instruments,5.9
2003-Q2,manufacturing,transport equipment,transport equipment,8.4
2003-Q2,manufacturing,other manufacturing industries,other manufacturing industries,5.4
2003-Q2,construction,construction,construction,6.6
2003-Q2,services,wholesale and retail trade,wholesale trade,1.8
2003-Q2,services,wholesale and retail trade,retail trade,1.5
2003-Q2,services,transport and storage,land transport and supporting services,5.2
2003-Q2,services,transport and storage,water transport and supporting services,2.1
2003-Q2,services,transport and storage,air transport and supporting services,0.5
2003-Q2,services,transport and storage,other transport and storage services,3.6
2003-Q2,services,hotels and restaurants,hotels,0.3
2003-Q2,services,hotels and restaurants,restaurants,0.3
2003-Q2,services,information and communications,broadcasting and publishing,0.4
2003-Q2,services,information and communications,telecommunications,0.8
2003-Q2,services,information and communications,it and other information services,0.3
2003-Q2,services,financial services,financial institutions,0.6
2003-Q2,services,financial services,insurance,0.6
2003-Q2,services,real estate and leasing services,real estate and leasing services,1.9
2003-Q2,services,professional services,"legal, accounting and management services",1.5
2003-Q2,services,professional services,architectural and engineering services,4.1
2003-Q2,services,professional services,other professional services,0.2
2003-Q2,services,administrative and support services,administrative and support services,6.4
2003-Q2,services,"community, social and personal services",education,0.4
2003-Q2,services,"community, social and personal services","health, social and community services",0.6
2003-Q2,services,"community, social and personal services","other community, social and personal services",1
2003-Q2,others,others,others,2.8
2003-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",3.7
2003-Q3,manufacturing,paper products and printing,paper products and printing,7.2
2003-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",2.9
2003-Q3,manufacturing,rubber and plastic products,rubber and plastic products,6.9
2003-Q3,manufacturing,fabricated metal products,fabricated metal products,8.6
2003-Q3,manufacturing,machinery and equipment,machinery and equipment,7.1
2003-Q3,manufacturing,electrical products,electrical products,5.6
2003-Q3,manufacturing,electronic products,electronic products,4.8
2003-Q3,manufacturing,medical and precision instruments,medical and precision instruments,5.1
2003-Q3,manufacturing,transport equipment,transport equipment,7.8
2003-Q3,manufacturing,other manufacturing industries,other manufacturing industries,6.3
2003-Q3,construction,construction,construction,6.6
2003-Q3,services,wholesale and retail trade,wholesale trade,1.7
2003-Q3,services,wholesale and retail trade,retail trade,1.6
2003-Q3,services,transport and storage,land transport and supporting services,5.7
2003-Q3,services,transport and storage,water transport and supporting services,1.5
2003-Q3,services,transport and storage,air transport and supporting services,0.6
2003-Q3,services,transport and storage,other transport and storage services,3.5
2003-Q3,services,hotels and restaurants,hotels,1.1
2003-Q3,services,hotels and restaurants,restaurants,0.7
2003-Q3,services,information and communications,broadcasting and publishing,0.4
2003-Q3,services,information and communications,telecommunications,0.5
2003-Q3,services,information and communications,it and other information services,0.2
2003-Q3,services,financial services,financial institutions,0.6
2003-Q3,services,financial services,insurance,0.4
2003-Q3,services,real estate and leasing services,real estate and leasing services,1.7
2003-Q3,services,professional services,"legal, accounting and management services",0.8
2003-Q3,services,professional services,architectural and engineering services,3.8
2003-Q3,services,professional services,other professional services,0.4
2003-Q3,services,administrative and support services,administrative and support services,5.8
2003-Q3,services,"community, social and personal services",education,0.4
2003-Q3,services,"community, social and personal services","health, social and community services",0.5
2003-Q3,services,"community, social and personal services","other community, social and personal services",1.2
2003-Q3,others,others,others,2.9
2003-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",4.2
2003-Q4,manufacturing,paper products and printing,paper products and printing,7.7
2003-Q4,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",3.5
2003-Q4,manufacturing,rubber and plastic products,rubber and plastic products,7.4
2003-Q4,manufacturing,fabricated metal products,fabricated metal products,8.4
2003-Q4,manufacturing,machinery and equipment,machinery and equipment,7.4
2003-Q4,manufacturing,electrical products,electrical products,5.5
2003-Q4,manufacturing,electronic products,electronic products,5.7
2003-Q4,manufacturing,medical and precision instruments,medical and precision instruments,6.3
2003-Q4,manufacturing,transport equipment,transport equipment,8.4
2003-Q4,manufacturing,other manufacturing industries,other manufacturing industries,7.2
2003-Q4,construction,construction,construction,6.6
2003-Q4,services,wholesale and retail trade,wholesale trade,1.9
2003-Q4,services,wholesale and retail trade,retail trade,2
2003-Q4,services,transport and storage,land transport and supporting services,5.8
2003-Q4,services,transport and storage,water transport and supporting services,1.9
2003-Q4,services,transport and storage,air transport and supporting services,1.4
2003-Q4,services,transport and storage,other transport and storage services,3.8
2003-Q4,services,hotels and restaurants,hotels,1.4
2003-Q4,services,hotels and restaurants,restaurants,0.6
2003-Q4,services,information and communications,broadcasting and publishing,0.7
2003-Q4,services,information and communications,telecommunications,0.5
2003-Q4,services,information and communications,it and other information services,0.3
2003-Q4,services,financial services,financial institutions,0.6
2003-Q4,services,financial services,insurance,0.4
2003-Q4,services,real estate and leasing services,real estate and leasing services,1.8
2003-Q4,services,professional services,"legal, accounting and management services",0.7
2003-Q4,services,professional services,architectural and engineering services,4.3
2003-Q4,services,professional services,other professional services,0.9
2003-Q4,services,administrative and support services,administrative and support services,6.1
2003-Q4,services,"community, social and personal services",education,0.3
2003-Q4,services,"community, social and personal services","health, social and community services",0.4
2003-Q4,services,"community, social and personal services","other community, social and personal services",1.3
2003-Q4,others,others,others,3.3
2004-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",3.1
2004-Q1,manufacturing,paper products and printing,paper products and printing,6.9
2004-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",3.1
2004-Q1,manufacturing,rubber and plastic products,rubber and plastic products,7
2004-Q1,manufacturing,fabricated metal products,fabricated metal products,7.9
2004-Q1,manufacturing,machinery and equipment,machinery and equipment,7.6
2004-Q1,manufacturing,electrical products,electrical products,6.3
2004-Q1,manufacturing,electronic products,electronic products,5.8
2004-Q1,manufacturing,medical and precision instruments,medical and precision instruments,6.3
2004-Q1,manufacturing,transport equipment,transport equipment,8.5
2004-Q1,manufacturing,other manufacturing industries,other manufacturing industries,5.9
2004-Q1,construction,construction,construction,6.9
2004-Q1,services,wholesale and retail trade,wholesale trade,1.8
2004-Q1,services,wholesale and retail trade,retail trade,1.8
2004-Q1,services,transport and storage,land transport and supporting services,4.4
2004-Q1,services,transport and storage,water transport and supporting services,2
2004-Q1,services,transport and storage,air transport and supporting services,1
2004-Q1,services,transport and storage,other transport and storage services,3.8
2004-Q1,services,hotels and restaurants,hotels,1.3
2004-Q1,services,hotels and restaurants,restaurants,0.8
2004-Q1,services,information and communications,broadcasting and publishing,0.7
2004-Q1,services,information and communications,telecommunications,0.6
2004-Q1,services,information and communications,it and other information services,0.3
2004-Q1,services,financial services,financial institutions,1.2
2004-Q1,services,financial services,insurance,0.5
2004-Q1,services,real estate and leasing services,real estate and leasing services,1.6
2004-Q1,services,professional services,"legal, accounting and management services",0.7
2004-Q1,services,professional services,architectural and engineering services,4.9
2004-Q1,services,professional services,other professional services,1.1
2004-Q1,services,administrative and support services,administrative and support services,5.3
2004-Q1,services,"community, social and personal services",education,0.3
2004-Q1,services,"community, social and personal services","health, social and community services",0.4
2004-Q1,services,"community, social and personal services","other community, social and personal services",1.3
2004-Q1,others,others,others,3.3
2004-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",3.9
2004-Q2,manufacturing,paper products and printing,paper products and printing,8
2004-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",3.6
2004-Q2,manufacturing,rubber and plastic products,rubber and plastic products,7.3
2004-Q2,manufacturing,fabricated metal products,fabricated metal products,8.1
2004-Q2,manufacturing,machinery and equipment,machinery and equipment,8.6
2004-Q2,manufacturing,electrical products,electrical products,6.9
2004-Q2,manufacturing,electronic products,electronic products,5.7
2004-Q2,manufacturing,medical and precision instruments,medical and precision instruments,6
2004-Q2,manufacturing,transport equipment,transport equipment,9.1
2004-Q2,manufacturing,other manufacturing industries,other manufacturing industries,6.9
2004-Q2,construction,construction,construction,7.1
2004-Q2,services,wholesale and retail trade,wholesale trade,1.9
2004-Q2,services,wholesale and retail trade,retail trade,1.8
2004-Q2,services,transport and storage,land transport and supporting services,4.5
2004-Q2,services,transport and storage,water transport and supporting services,2.2
2004-Q2,services,transport and storage,air transport and supporting services,1.6
2004-Q2,services,transport and storage,other transport and storage services,4
2004-Q2,services,hotels and restaurants,hotels,1.2
2004-Q2,services,hotels and restaurants,restaurants,0.8
2004-Q2,services,information and communications,broadcasting and publishing,0.6
2004-Q2,services,information and communications,telecommunications,0.5
2004-Q2,services,information and communications,it and other information services,0.2
2004-Q2,services,financial services,financial institutions,1
2004-Q2,services,financial services,insurance,0.4
2004-Q2,services,real estate and leasing services,real estate and leasing services,1.6
2004-Q2,services,professional services,"legal, accounting and management services",0.7
2004-Q2,services,professional services,architectural and engineering services,4.5
2004-Q2,services,professional services,other professional services,1
2004-Q2,services,administrative and support services,administrative and support services,6.3
2004-Q2,services,"community, social and personal services",education,0.3
2004-Q2,services,"community, social and personal services","health, social and community services",0.5
2004-Q2,services,"community, social and personal services","other community, social and personal services",1.3
2004-Q2,others,others,others,3.3
2004-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",3.7
2004-Q3,manufacturing,paper products and printing,paper products and printing,7.6
2004-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",3.1
2004-Q3,manufacturing,rubber and plastic products,rubber and plastic products,7.4
2004-Q3,manufacturing,fabricated metal products,fabricated metal products,8.7
2004-Q3,manufacturing,machinery and equipment,machinery and equipment,8.3
2004-Q3,manufacturing,electrical products,electrical products,6.9
2004-Q3,manufacturing,electronic products,electronic products,5.7
2004-Q3,manufacturing,medical and precision instruments,medical and precision instruments,5.8
2004-Q3,manufacturing,transport equipment,transport equipment,9.5
2004-Q3,manufacturing,other manufacturing industries,other manufacturing industries,6.6
2004-Q3,construction,construction,construction,6.9
2004-Q3,services,wholesale and retail trade,wholesale trade,1.8
2004-Q3,services,wholesale and retail trade,retail trade,1.7
2004-Q3,services,transport and storage,land transport and supporting services,4.2
2004-Q3,services,transport and storage,water transport and supporting services,2.2
2004-Q3,services,transport and storage,air transport and supporting services,1.2
2004-Q3,services,transport and storage,other transport and storage services,3.8
2004-Q3,services,hotels and restaurants,hotels,1.1
2004-Q3,services,hotels and restaurants,restaurants,1
