quarter,industry1,industry2,industry3,total_paid_hours
1991-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",46.8
1991-Q1,manufacturing,textile and wearing apparel,textile and wearing apparel,48.9
1991-Q1,manufacturing,paper products and publishing,paper products and publishing,48.7
1991-Q1,manufacturing,petroleum and chemical products,petroleum and chemical products,47.6
1991-Q1,manufacturing,rubber and plastic products,rubber and plastic products,49.1
1991-Q1,manufacturing,fabricated metal products,fabricated metal products,49.7
1991-Q1,manufacturing,machinery and equipment,machinery and equipment,49.5
1991-Q1,manufacturing,electrical products,electrical products,48
1991-Q1,manufacturing,electronic products,electronic products,47
1991-Q1,manufacturing,medical and precision instruments,medical and precision instruments,46.2
1991-Q1,manufacturing,transport equipment,transport equipment,53.1
1991-Q1,manufacturing,other manufacturing industries,other manufacturing industries,49.1
1991-Q1,construction,construction,construction,49.6
1991-Q1,services,wholesale and retail trade,wholesale trade,43.8
1991-Q1,services,wholesale and retail trade,retail trade,42.3
1991-Q1,services,hotels and restaurants,hotels,44.1
1991-Q1,services,hotels and restaurants,restaurants,35.4
1991-Q1,services,"transport, storage and communications","transport, storage and communications",47.7
1991-Q1,services,financial intermediation,financial institutions,44.2
1991-Q1,services,financial intermediation,insurance and pension funding,40.8
1991-Q1,services,business and real estate services,business and real estate services,45.2
1991-Q1,services,"community, social and personal services","community, social and personal services",41.6
1991-Q1,others,others,others,48.1
1991-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",47.7
1991-Q2,manufacturing,textile and wearing apparel,textile and wearing apparel,49.4
1991-Q2,manufacturing,paper products and publishing,paper products and publishing,49.7
1991-Q2,manufacturing,petroleum and chemical products,petroleum and chemical products,48.1
1991-Q2,manufacturing,rubber and plastic products,rubber and plastic products,49.7
1991-Q2,manufacturing,fabricated metal products,fabricated metal products,51
1991-Q2,manufacturing,machinery and equipment,machinery and equipment,50.8
1991-Q2,manufacturing,electrical products,electrical products,47.9
1991-Q2,manufacturing,electronic products,electronic products,47.7
1991-Q2,manufacturing,medical and precision instruments,medical and precision instruments,46.8
1991-Q2,manufacturing,transport equipment,transport equipment,53.6
1991-Q2,manufacturing,other manufacturing industries,other manufacturing industries,49.6
1991-Q2,construction,construction,construction,49.6
1991-Q2,services,wholesale and retail trade,wholesale trade,44
1991-Q2,services,wholesale and retail trade,retail trade,42.7
1991-Q2,services,hotels and restaurants,hotels,44.5
1991-Q2,services,hotels and restaurants,restaurants,34.5
1991-Q2,services,"transport, storage and communications","transport, storage and communications",47.6
1991-Q2,services,financial intermediation,financial institutions,44
1991-Q2,services,financial intermediation,insurance and pension funding,40.8
1991-Q2,services,business and real estate services,business and real estate services,45.6
1991-Q2,services,"community, social and personal services","community, social and personal services",41.4
1991-Q2,others,others,others,48
1991-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",47.2
1991-Q3,manufacturing,textile and wearing apparel,textile and wearing apparel,49
1991-Q3,manufacturing,paper products and publishing,paper products and publishing,49.9
1991-Q3,manufacturing,petroleum and chemical products,petroleum and chemical products,47.9
1991-Q3,manufacturing,rubber and plastic products,rubber and plastic products,49.5
1991-Q3,manufacturing,fabricated metal products,fabricated metal products,50.8
1991-Q3,manufacturing,machinery and equipment,machinery and equipment,49.5
1991-Q3,manufacturing,electrical products,electrical products,49.5
1991-Q3,manufacturing,electronic products,electronic products,47
1991-Q3,manufacturing,medical and precision instruments,medical and precision instruments,46
1991-Q3,manufacturing,transport equipment,transport equipment,53.2
1991-Q3,manufacturing,other manufacturing industries,other manufacturing industries,49.6
1991-Q3,construction,construction,construction,50
1991-Q3,services,wholesale and retail trade,wholesale trade,44.1
1991-Q3,services,wholesale and retail trade,retail trade,43
1991-Q3,services,hotels and restaurants,hotels,44.9
1991-Q3,services,hotels and restaurants,restaurants,36.3
1991-Q3,services,"transport, storage and communications","transport, storage and communications",47.6
1991-Q3,services,financial intermediation,financial institutions,43.9
1991-Q3,services,financial intermediation,insurance and pension funding,40.7
1991-Q3,services,business and real estate services,business and real estate services,44.4
1991-Q3,services,"community, social and personal services","community, social and personal services",41.5
1991-Q3,others,others,others,47.5
1991-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",46.8
1991-Q4,manufacturing,textile and wearing apparel,textile and wearing apparel,49.9
1991-Q4,manufacturing,paper products and publishing,paper products and publishing,49.2
1991-Q4,manufacturing,petroleum and chemical products,petroleum and chemical products,47.3
1991-Q4,manufacturing,rubber and plastic products,rubber and plastic products,48.4
1991-Q4,manufacturing,fabricated metal products,fabricated metal products,50
1991-Q4,manufacturing,machinery and equipment,machinery and equipment,49.7
1991-Q4,manufacturing,electrical products,electrical products,48.1
1991-Q4,manufacturing,electronic products,electronic products,46.3
1991-Q4,manufacturing,medical and precision instruments,medical and precision instruments,46.8
1991-Q4,manufacturing,transport equipment,transport equipment,52.7
1991-Q4,manufacturing,other manufacturing industries,other manufacturing industries,49.6
1991-Q4,construction,construction,construction,49.9
1991-Q4,services,wholesale and retail trade,wholesale trade,44.2
1991-Q4,services,wholesale and retail trade,retail trade,42.7
1991-Q4,services,hotels and restaurants,hotels,44.7
1991-Q4,services,hotels and restaurants,restaurants,34.7
1991-Q4,services,"transport, storage and communications","transport, storage and communications",47.4
1991-Q4,services,financial intermediation,financial institutions,43.8
1991-Q4,services,financial intermediation,insurance and pension funding,40.8
1991-Q4,services,business and real estate services,business and real estate services,44.8
1991-Q4,services,"community, social and personal services","community, social and personal services",41.6
1991-Q4,others,others,others,47.1
1992-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",46.9
1992-Q1,manufacturing,textile and wearing apparel,textile and wearing apparel,48.4
1992-Q1,manufacturing,paper products and publishing,paper products and publishing,49.4
1992-Q1,manufacturing,petroleum and chemical products,petroleum and chemical products,47.6
1992-Q1,manufacturing,rubber and plastic products,rubber and plastic products,48.9
1992-Q1,manufacturing,fabricated metal products,fabricated metal products,50.6
1992-Q1,manufacturing,machinery and equipment,machinery and equipment,50.2
1992-Q1,manufacturing,electrical products,electrical products,47.8
1992-Q1,manufacturing,electronic products,electronic products,46.4
1992-Q1,manufacturing,medical and precision instruments,medical and precision instruments,46.5
1992-Q1,manufacturing,transport equipment,transport equipment,52.1
1992-Q1,manufacturing,other manufacturing industries,other manufacturing industries,49.3
1992-Q1,construction,construction,construction,49.8
1992-Q1,services,wholesale and retail trade,wholesale trade,44
1992-Q1,services,wholesale and retail trade,retail trade,42.9
1992-Q1,services,hotels and restaurants,hotels,45.2
1992-Q1,services,hotels and restaurants,restaurants,34.9
1992-Q1,services,"transport, storage and communications","transport, storage and communications",47.7
1992-Q1,services,financial intermediation,financial institutions,43.9
1992-Q1,services,financial intermediation,insurance and pension funding,40.7
1992-Q1,services,business and real estate services,business and real estate services,44.7
1992-Q1,services,"community, social and personal services","community, social and personal services",41.7
1992-Q1,others,others,others,47.4
1992-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",46.9
1992-Q2,manufacturing,textile and wearing apparel,textile and wearing apparel,49.7
1992-Q2,manufacturing,paper products and publishing,paper products and publishing,49.5
1992-Q2,manufacturing,petroleum and chemical products,petroleum and chemical products,48.5
1992-Q2,manufacturing,rubber and plastic products,rubber and plastic products,49.9
1992-Q2,manufacturing,fabricated metal products,fabricated metal products,51.5
1992-Q2,manufacturing,machinery and equipment,machinery and equipment,50.6
1992-Q2,manufacturing,electrical products,electrical products,47.8
1992-Q2,manufacturing,electronic products,electronic products,47.8
1992-Q2,manufacturing,medical and precision instruments,medical and precision instruments,51.5
1992-Q2,manufacturing,transport equipment,transport equipment,53
1992-Q2,manufacturing,other manufacturing industries,other manufacturing industries,49.8
1992-Q2,construction,construction,construction,50.5
1992-Q2,services,wholesale and retail trade,wholesale trade,44
1992-Q2,services,wholesale and retail trade,retail trade,43
1992-Q2,services,hotels and restaurants,hotels,44.7
1992-Q2,services,hotels and restaurants,restaurants,35.2
1992-Q2,services,"transport, storage and communications","transport, storage and communications",47.9
1992-Q2,services,financial intermediation,financial institutions,43.9
1992-Q2,services,financial intermediation,insurance and pension funding,40.7
1992-Q2,services,business and real estate services,business and real estate services,44.6
1992-Q2,services,"community, social and personal services","community, social and personal services",42
1992-Q2,others,others,others,47
1992-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",46.7
1992-Q3,manufacturing,textile and wearing apparel,textile and wearing apparel,48.5
