quarter,industry1,industry2,industry3,total_paid_hours
2000-Q4,services,professional services,architectural and engineering services,46.8
2000-Q4,services,professional services,other professional services,42.3
2000-Q4,services,administrative and support services,administrative and support services,52.3
2000-Q4,services,"community, social and personal services",education,39.1
2000-Q4,services,"community, social and personal services","health, social and community services",41.7
2000-Q4,services,"community, social and personal services","other community, social and personal services",44.3
2000-Q4,others,others,others,46.8
2001-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",47.4
2001-Q1,manufacturing,paper products and printing,paper products and printing,50
2001-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",45.7
2001-Q1,manufacturing,rubber and plastic products,rubber and plastic products,49
2001-Q1,manufacturing,fabricated metal products,fabricated metal products,50.4
2001-Q1,manufacturing,machinery and equipment,machinery and equipment,50.8
2001-Q1,manufacturing,electrical products,electrical products,47.5
2001-Q1,manufacturing,electronic products,electronic products,46.1
2001-Q1,manufacturing,medical and precision instruments,medical and precision instruments,47.8
2001-Q1,manufacturing,transport equipment,transport equipment,55.6
2001-Q1,manufacturing,other manufacturing industries,other manufacturing industries,50.1
2001-Q1,construction,construction,construction,51.3
2001-Q1,services,wholesale and retail trade,wholesale trade,43.7
2001-Q1,services,wholesale and retail trade,retail trade,42.7
2001-Q1,services,transport and storage,land transport and supporting services,49.5
2001-Q1,services,transport and storage,water transport and supporting services,45.5
2001-Q1,services,transport and storage,air transport and supporting services,44.2
2001-Q1,services,transport and storage,other transport and storage services,48.1
2001-Q1,services,hotels and restaurants,hotels,46.2
2001-Q1,services,hotels and restaurants,restaurants,37
2001-Q1,services,information and communications,broadcasting and publishing,42.5
2001-Q1,services,information and communications,telecommunications,43.2
2001-Q1,services,information and communications,it and other information services,41.8
2001-Q1,services,financial services,financial institutions,43.6
2001-Q1,services,financial services,insurance,41.3
2001-Q1,services,real estate and leasing services,real estate and leasing services,44.7
2001-Q1,services,professional services,"legal, accounting and management services",42.1
2001-Q1,services,professional services,architectural and engineering services,46.4
2001-Q1,services,professional services,other professional services,42.3
2001-Q1,services,administrative and support services,administrative and support services,53
2001-Q1,services,"community, social and personal services",education,38.2
2001-Q1,services,"community, social and personal services","health, social and community services",41.6
2001-Q1,services,"community, social and personal services","other community, social and personal services",44.1
2001-Q1,others,others,others,46.5
2001-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",47.2
2001-Q2,manufacturing,paper products and printing,paper products and printing,49.4
2001-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",45.5
2001-Q2,manufacturing,rubber and plastic products,rubber and plastic products,48.5
2001-Q2,manufacturing,fabricated metal products,fabricated metal products,49.7
2001-Q2,manufacturing,machinery and equipment,machinery and equipment,50.3
2001-Q2,manufacturing,electrical products,electrical products,47.8
2001-Q2,manufacturing,electronic products,electronic products,46.1
2001-Q2,manufacturing,medical and precision instruments,medical and precision instruments,47.6
2001-Q2,manufacturing,transport equipment,transport equipment,54.5
2001-Q2,manufacturing,other manufacturing industries,other manufacturing industries,49.6
2001-Q2,construction,construction,construction,51.3
2001-Q2,services,wholesale and retail trade,wholesale trade,43.6
2001-Q2,services,wholesale and retail trade,retail trade,42.9
2001-Q2,services,transport and storage,land transport and supporting services,49.3
2001-Q2,services,transport and storage,water transport and supporting services,45.6
2001-Q2,services,transport and storage,air transport and supporting services,43.8
2001-Q2,services,transport and storage,other transport and storage services,47.4
2001-Q2,services,hotels and restaurants,hotels,45.9
2001-Q2,services,hotels and restaurants,restaurants,37
2001-Q2,services,information and communications,broadcasting and publishing,42.5
2001-Q2,services,information and communications,telecommunications,43.4
2001-Q2,services,information and communications,it and other information services,41.6
2001-Q2,services,financial services,financial institutions,43.6
2001-Q2,services,financial services,insurance,40.9
2001-Q2,services,real estate and leasing services,real estate and leasing services,44.3
2001-Q2,services,professional services,"legal, accounting and management services",41.7
2001-Q2,services,professional services,architectural and engineering services,46.6
2001-Q2,services,professional services,other professional services,41.7
2001-Q2,services,administrative and support services,administrative and support services,52
2001-Q2,services,"community, social and personal services",education,38.6
2001-Q2,services,"community, social and personal services","health, social and community services",41.7
2001-Q2,services,"community, social and personal services","other community, social and personal services",44.1
2001-Q2,others,others,others,48.6
2001-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",46.7
2001-Q3,manufacturing,paper products and printing,paper products and printing,49
2001-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",44.7
2001-Q3,manufacturing,rubber and plastic products,rubber and plastic products,48.6
2001-Q3,manufacturing,fabricated metal products,fabricated metal products,50.6
2001-Q3,manufacturing,machinery and equipment,machinery and equipment,49.1
2001-Q3,manufacturing,electrical products,electrical products,47.3
2001-Q3,manufacturing,electronic products,electronic products,45.5
2001-Q3,manufacturing,medical and precision instruments,medical and precision instruments,47.3
2001-Q3,manufacturing,transport equipment,transport equipment,54.1
2001-Q3,manufacturing,other manufacturing industries,other manufacturing industries,49.7
2001-Q3,construction,construction,construction,50.6
2001-Q3,services,wholesale and retail trade,wholesale trade,43.5
2001-Q3,services,wholesale and retail trade,retail trade,42.8
2001-Q3,services,transport and storage,land transport and supporting services,48.3
2001-Q3,services,transport and storage,water transport and supporting services,45.5
2001-Q3,services,transport and storage,air transport and supporting services,43.7
2001-Q3,services,transport and storage,other transport and storage services,47.3
2001-Q3,services,hotels and restaurants,hotels,45.2
2001-Q3,services,hotels and restaurants,restaurants,38.1
2001-Q3,services,information and communications,broadcasting and publishing,42.3
2001-Q3,services,information and communications,telecommunications,43.3
2001-Q3,services,information and communications,it and other information services,41.6
2001-Q3,services,financial services,financial institutions,43.3
2001-Q3,services,financial services,insurance,40.6
2001-Q3,services,real estate and leasing services,real estate and leasing services,44.9
2001-Q3,services,professional services,"legal, accounting and management services",41.8
2001-Q3,services,professional services,architectural and engineering services,46.9
2001-Q3,services,professional services,other professional services,42.5
2001-Q3,services,administrative and support services,administrative and support services,50.2
2001-Q3,services,"community, social and personal services",education,37.7
2001-Q3,services,"community, social and personal services","health, social and community services",42
2001-Q3,services,"community, social and personal services","other community, social and personal services",43.2
2001-Q3,others,others,others,47.1
2001-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",47.7
2001-Q4,manufacturing,paper products and printing,paper products and printing,48.6
2001-Q4,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",44.3
2001-Q4,manufacturing,rubber and plastic products,rubber and plastic products,48.7
2001-Q4,manufacturing,fabricated metal products,fabricated metal products,50.2
2001-Q4,manufacturing,machinery and equipment,machinery and equipment,49
2001-Q4,manufacturing,electrical products,electrical products,47.1
2001-Q4,manufacturing,electronic products,electronic products,45.9
2001-Q4,manufacturing,medical and precision instruments,medical and precision instruments,46.5
2001-Q4,manufacturing,transport equipment,transport equipment,52.8
2001-Q4,manufacturing,other manufacturing industries,other manufacturing industries,48.9
2001-Q4,construction,construction,construction,50.2
2001-Q4,services,wholesale and retail trade,wholesale trade,43.3
2001-Q4,services,wholesale and retail trade,retail trade,42.4
2001-Q4,services,transport and storage,land transport and supporting services,49.5
2001-Q4,services,transport and storage,water transport and supporting services,45.3
2001-Q4,services,transport and storage,air transport and supporting services,42.7
2001-Q4,services,transport and storage,other transport and storage services,46.5
2001-Q4,services,hotels and restaurants,hotels,44.6
2001-Q4,services,hotels and restaurants,restaurants,36.5
2001-Q4,services,information and communications,broadcasting and publishing,42.7
2001-Q4,services,information and communications,telecommunications,43.8
2001-Q4,services,information and communications,it and other information services,41.9
2001-Q4,services,financial services,financial institutions,42.8
2001-Q4,services,financial services,insurance,40
2001-Q4,services,real estate and leasing services,real estate and leasing services,44.1
2001-Q4,services,professional services,"legal, accounting and management services",41.3
2001-Q4,services,professional services,architectural and engineering services,46.5
2001-Q4,services,professional services,other professional services,42.8
2001-Q4,services,administrative and support services,administrative and support services,49.7
2001-Q4,services,"community, social and personal services",education,36.9
2001-Q4,services,"community, social and personal services","health, social and community services",41.9
2001-Q4,services,"community, social and personal services","other community, social and personal services",43.3
2001-Q4,others,others,others,47.3
2002-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",47.3
2002-Q1,manufacturing,paper products and printing,paper products and printing,49.1
2002-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",44.8
2002-Q1,manufacturing,rubber and plastic products,rubber and plastic products,48.8
2002-Q1,manufacturing,fabricated metal products,fabricated metal products,51.1
2002-Q1,manufacturing,machinery and equipment,machinery and equipment,49.7
2002-Q1,manufacturing,electrical products,electrical products,48
2002-Q1,manufacturing,electronic products,electronic products,46
2002-Q1,manufacturing,medical and precision instruments,medical and precision instruments,47.2
2002-Q1,manufacturing,transport equipment,transport equipment,52.3
2002-Q1,manufacturing,other manufacturing industries,other manufacturing industries,48.3
2002-Q1,construction,construction,construction,50.4
2002-Q1,services,wholesale and retail trade,wholesale trade,43.2
2002-Q1,services,wholesale and retail trade,retail trade,42.3
2002-Q1,services,transport and storage,land transport and supporting services,49.6
2002-Q1,services,transport and storage,water transport and supporting services,45
2002-Q1,services,transport and storage,air transport and supporting services,43.4
2002-Q1,services,transport and storage,other transport and storage services,46.8
2002-Q1,services,hotels and restaurants,hotels,44.8
2002-Q1,services,hotels and restaurants,restaurants,36.3
2002-Q1,services,information and communications,broadcasting and publishing,41.8
2002-Q1,services,information and communications,telecommunications,43.7
2002-Q1,services,information and communications,it and other information services,41.8
2002-Q1,services,financial services,financial institutions,43
2002-Q1,services,financial services,insurance,40.1
2002-Q1,services,real estate and leasing services,real estate and leasing services,44.1
2002-Q1,services,professional services,"legal, accounting and management services",41.1
2002-Q1,services,professional services,architectural and engineering services,46.9
2002-Q1,services,professional services,other professional services,42.7
2002-Q1,services,administrative and support services,administrative and support services,49.9
2002-Q1,services,"community, social and personal services",education,37.1
2002-Q1,services,"community, social and personal services","health, social and community services",41.9
2002-Q1,services,"community, social and personal services","other community, social and personal services",43.4
2002-Q1,others,others,others,46.2
2002-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",47
2002-Q2,manufacturing,paper products and printing,paper products and printing,49.7
2002-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",45.2
2002-Q2,manufacturing,rubber and plastic products,rubber and plastic products,49.4
2002-Q2,manufacturing,fabricated metal products,fabricated metal products,50.7
2002-Q2,manufacturing,machinery and equipment,machinery and equipment,50.7
2002-Q2,manufacturing,electrical products,electrical products,48
2002-Q2,manufacturing,electronic products,electronic products,46.4
2002-Q2,manufacturing,medical and precision instruments,medical and precision instruments,47.6
2002-Q2,manufacturing,transport equipment,transport equipment,53.3
2002-Q2,manufacturing,other manufacturing industries,other manufacturing industries,49.7
2002-Q2,construction,construction,construction,50.6
2002-Q2,services,wholesale and retail trade,wholesale trade,43.2
2002-Q2,services,wholesale and retail trade,retail trade,43.1
2002-Q2,services,transport and storage,land transport and supporting services,48.8
2002-Q2,services,transport and storage,water transport and supporting services,44.9
2002-Q2,services,transport and storage,air transport and supporting services,42.6
2002-Q2,services,transport and storage,other transport and storage services,47.1
2002-Q2,services,hotels and restaurants,hotels,44.6
2002-Q2,services,hotels and restaurants,restaurants,35.8
2002-Q2,services,information and communications,broadcasting and publishing,42.3
2002-Q2,services,information and communications,telecommunications,43.7
2002-Q2,services,information and communications,it and other information services,41.4
2002-Q2,services,financial services,financial institutions,42.9
2002-Q2,services,financial services,insurance,40
2002-Q2,services,real estate and leasing services,real estate and leasing services,44.2
2002-Q2,services,professional services,"legal, accounting and management services",41.1
2002-Q2,services,professional services,architectural and engineering services,47.3
2002-Q2,services,professional services,other professional services,42.5
2002-Q2,services,administrative and support services,administrative and support services,50.5
2002-Q2,services,"community, social and personal services",education,37.1
2002-Q2,services,"community, social and personal services","health, social and community services",41.9
2002-Q2,services,"community, social and personal services","other community, social and personal services",43.4
2002-Q2,others,others,others,46.8
2002-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",47.3
2002-Q3,manufacturing,paper products and printing,paper products and printing,49.9
2002-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",44.7
2002-Q3,manufacturing,rubber and plastic products,rubber and plastic products,49.3
2002-Q3,manufacturing,fabricated metal products,fabricated metal products,51.2
2002-Q3,manufacturing,machinery and equipment,machinery and equipment,50.3
2002-Q3,manufacturing,electrical products,electrical products,48.7
2002-Q3,manufacturing,electronic products,electronic products,47.3
2002-Q3,manufacturing,medical and precision instruments,medical and precision instruments,47.6
2002-Q3,manufacturing,transport equipment,transport equipment,53
2002-Q3,manufacturing,other manufacturing industries,other manufacturing industries,50.2
2002-Q3,construction,construction,construction,50.8
2002-Q3,services,wholesale and retail trade,wholesale trade,43.5
2002-Q3,services,wholesale and retail trade,retail trade,42.4
2002-Q3,services,transport and storage,land transport and supporting services,48.5
2002-Q3,services,transport and storage,water transport and supporting services,45.4
2002-Q3,services,transport and storage,air transport and supporting services,42.6
2002-Q3,services,transport and storage,other transport and storage services,47.2
2002-Q3,services,hotels and restaurants,hotels,45.2
2002-Q3,services,hotels and restaurants,restaurants,35.6
2002-Q3,services,information and communications,broadcasting and publishing,42
2002-Q3,services,information and communications,telecommunications,43.6
2002-Q3,services,information and communications,it and other information services,41.6
2002-Q3,services,financial services,financial institutions,42.8
2002-Q3,services,financial services,insurance,40
2002-Q3,services,real estate and leasing services,real estate and leasing services,44.4
2002-Q3,services,professional services,"legal, accounting and management services",41.7
2002-Q3,services,professional services,architectural and engineering services,46
2002-Q3,services,professional services,other professional services,42.1
2002-Q3,services,administrative and support services,administrative and support services,50.3
2002-Q3,services,"community, social and personal services",education,38
2002-Q3,services,"community, social and personal services","health, social and community services",41.9
2002-Q3,services,"community, social and personal services","other community, social and personal services",43.1
2002-Q3,others,others,others,46.3
2002-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",48.1
2002-Q4,manufacturing,paper products and printing,paper products and printing,50.5
2002-Q4,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",44.8
2002-Q4,manufacturing,rubber and plastic products,rubber and plastic products,49
2002-Q4,manufacturing,fabricated metal products,fabricated metal products,51
2002-Q4,manufacturing,machinery and equipment,machinery and equipment,49.9
2002-Q4,manufacturing,electrical products,electrical products,47.8
2002-Q4,manufacturing,electronic products,electronic products,47.2
2002-Q4,manufacturing,medical and precision instruments,medical and precision instruments,48.4
2002-Q4,manufacturing,transport equipment,transport equipment,52.6
2002-Q4,manufacturing,other manufacturing industries,other manufacturing industries,49.4
2002-Q4,construction,construction,construction,50.5
2002-Q4,services,wholesale and retail trade,wholesale trade,43.3
2002-Q4,services,wholesale and retail trade,retail trade,42.6
2002-Q4,services,transport and storage,land transport and supporting services,49.6
2002-Q4,services,transport and storage,water transport and supporting services,45
2002-Q4,services,transport and storage,air transport and supporting services,42.8
2002-Q4,services,transport and storage,other transport and storage services,46.7
2002-Q4,services,hotels and restaurants,hotels,44.9
2002-Q4,services,hotels and restaurants,restaurants,35
2002-Q4,services,information and communications,broadcasting and publishing,41.5
2002-Q4,services,information and communications,telecommunications,43.1
2002-Q4,services,information and communications,it and other information services,41.4
2002-Q4,services,financial services,financial institutions,42.9
2002-Q4,services,financial services,insurance,40.1
2002-Q4,services,real estate and leasing services,real estate and leasing services,44.5
2002-Q4,services,professional services,"legal, accounting and management services",41.5
2002-Q4,services,professional services,architectural and engineering services,45.8
2002-Q4,services,professional services,other professional services,41.5
2002-Q4,services,administrative and support services,administrative and support services,50.8
2002-Q4,services,"community, social and personal services",education,38.2
2002-Q4,services,"community, social and personal services","health, social and community services",41.8
2002-Q4,services,"community, social and personal services","other community, social and personal services",42.8
2002-Q4,others,others,others,45.5
2003-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",47.4
2003-Q1,manufacturing,paper products and printing,paper products and printing,50.3
2003-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",44.7
2003-Q1,manufacturing,rubber and plastic products,rubber and plastic products,49.5
2003-Q1,manufacturing,fabricated metal products,fabricated metal products,51.3
2003-Q1,manufacturing,machinery and equipment,machinery and equipment,49.9
2003-Q1,manufacturing,electrical products,electrical products,47.7
2003-Q1,manufacturing,electronic products,electronic products,46.8
2003-Q1,manufacturing,medical and precision instruments,medical and precision instruments,48.5
2003-Q1,manufacturing,transport equipment,transport equipment,52.8
2003-Q1,manufacturing,other manufacturing industries,other manufacturing industries,48.3
2003-Q1,construction,construction,construction,50.6
2003-Q1,services,wholesale and retail trade,wholesale trade,43.3
2003-Q1,services,wholesale and retail trade,retail trade,42.8
2003-Q1,services,transport and storage,land transport and supporting services,48.4
2003-Q1,services,transport and storage,water transport and supporting services,45
2003-Q1,services,transport and storage,air transport and supporting services,42.8
2003-Q1,services,transport and storage,other transport and storage services,47
2003-Q1,services,hotels and restaurants,hotels,45.1
2003-Q1,services,hotels and restaurants,restaurants,35.1
2003-Q1,services,information and communications,broadcasting and publishing,41.5
2003-Q1,services,information and communications,telecommunications,43.1
2003-Q1,services,information and communications,it and other information services,41.5
2003-Q1,services,financial services,financial institutions,43
2003-Q1,services,financial services,insurance,39.9
2003-Q1,services,real estate and leasing services,real estate and leasing services,44.5
2003-Q1,services,professional services,"legal, accounting and management services",41.6
2003-Q1,services,professional services,architectural and engineering services,46.1
2003-Q1,services,professional services,other professional services,41.8
2003-Q1,services,administrative and support services,administrative and support services,49.3
2003-Q1,services,"community, social and personal services",education,38.2
2003-Q1,services,"community, social and personal services","health, social and community services",42
2003-Q1,services,"community, social and personal services","other community, social and personal services",42.8
2003-Q1,others,others,others,45.6
2003-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",47.8
2003-Q2,manufacturing,paper products and printing,paper products and printing,50.3
2003-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",45
2003-Q2,manufacturing,rubber and plastic products,rubber and plastic products,49.2
2003-Q2,manufacturing,fabricated metal products,fabricated metal products,51
2003-Q2,manufacturing,machinery and equipment,machinery and equipment,50.8
2003-Q2,manufacturing,electrical products,electrical products,48
2003-Q2,manufacturing,electronic products,electronic products,46
2003-Q2,manufacturing,medical and precision instruments,medical and precision instruments,48.8
2003-Q2,manufacturing,transport equipment,transport equipment,52.3
2003-Q2,manufacturing,other manufacturing industries,other manufacturing industries,48.6
2003-Q2,construction,construction,construction,51.2
2003-Q2,services,wholesale and retail trade,wholesale trade,43.1
2003-Q2,services,wholesale and retail trade,retail trade,42
2003-Q2,services,transport and storage,land transport and supporting services,48.3
2003-Q2,services,transport and storage,water transport and supporting services,45.3
2003-Q2,services,transport and storage,air transport and supporting services,43
2003-Q2,services,transport and storage,other transport and storage services,46.6
2003-Q2,services,hotels and restaurants,hotels,44.2
2003-Q2,services,hotels and restaurants,restaurants,34.8
2003-Q2,services,information and communications,broadcasting and publishing,41.2
2003-Q2,services,information and communications,telecommunications,43.2
2003-Q2,services,information and communications,it and other information services,41.6
2003-Q2,services,financial services,financial institutions,43.1
2003-Q2,services,financial services,insurance,39.9
2003-Q2,services,real estate and leasing services,real estate and leasing services,44.9
2003-Q2,services,professional services,"legal, accounting and management services",42.5
2003-Q2,services,professional services,architectural and engineering services,46.3
2003-Q2,services,professional services,other professional services,41.7
2003-Q2,services,administrative and support services,administrative and support services,50.8
2003-Q2,services,"community, social and personal services",education,38
2003-Q2,services,"community, social and personal services","health, social and community services",41.9
2003-Q2,services,"community, social and personal services","other community, social and personal services",42.5
2003-Q2,others,others,others,45.5
2003-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",47.1
2003-Q3,manufacturing,paper products and printing,paper products and printing,50.7
2003-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",44.6
2003-Q3,manufacturing,rubber and plastic products,rubber and plastic products,50.1
2003-Q3,manufacturing,fabricated metal products,fabricated metal products,52.2
2003-Q3,manufacturing,machinery and equipment,machinery and equipment,50.5
2003-Q3,manufacturing,electrical products,electrical products,48.4
2003-Q3,manufacturing,electronic products,electronic products,46.8
2003-Q3,manufacturing,medical and precision instruments,medical and precision instruments,47.9
2003-Q3,manufacturing,transport equipment,transport equipment,51.7
2003-Q3,manufacturing,other manufacturing industries,other manufacturing industries,49.7
2003-Q3,construction,construction,construction,51.3
2003-Q3,services,wholesale and retail trade,wholesale trade,43.3
2003-Q3,services,wholesale and retail trade,retail trade,42.5
2003-Q3,services,transport and storage,land transport and supporting services,48.7
2003-Q3,services,transport and storage,water transport and supporting services,44.9
2003-Q3,services,transport and storage,air transport and supporting services,43
2003-Q3,services,transport and storage,other transport and storage services,46.6
2003-Q3,services,hotels and restaurants,hotels,45.1
2003-Q3,services,hotels and restaurants,restaurants,35.5
2003-Q3,services,information and communications,broadcasting and publishing,41.9
2003-Q3,services,information and communications,telecommunications,42.9
2003-Q3,services,information and communications,it and other information services,41.7
2003-Q3,services,financial services,financial institutions,42.9
2003-Q3,services,financial services,insurance,39.8
2003-Q3,services,real estate and leasing services,real estate and leasing services,44.9
2003-Q3,services,professional services,"legal, accounting and management services",41.9
2003-Q3,services,professional services,architectural and engineering services,46.2
2003-Q3,services,professional services,other professional services,42.1
2003-Q3,services,administrative and support services,administrative and support services,50.1
2003-Q3,services,"community, social and personal services",education,38
2003-Q3,services,"community, social and personal services","health, social and community services",41.9
2003-Q3,services,"community, social and personal services","other community, social and personal services",42.9
2003-Q3,others,others,others,45.9
2003-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",47.4
2003-Q4,manufacturing,paper products and printing,paper products and printing,51.3
2003-Q4,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",45.5
2003-Q4,manufacturing,rubber and plastic products,rubber and plastic products,51
2003-Q4,manufacturing,fabricated metal products,fabricated metal products,52
2003-Q4,manufacturing,machinery and equipment,machinery and equipment,50.7
2003-Q4,manufacturing,electrical products,electrical products,48
2003-Q4,manufacturing,electronic products,electronic products,47.8
2003-Q4,manufacturing,medical and precision instruments,medical and precision instruments,49
2003-Q4,manufacturing,transport equipment,transport equipment,52.5
2003-Q4,manufacturing,other manufacturing industries,other manufacturing industries,51
2003-Q4,construction,construction,construction,51.1
2003-Q4,services,wholesale and retail trade,wholesale trade,43.5
2003-Q4,services,wholesale and retail trade,retail trade,42.7
2003-Q4,services,transport and storage,land transport and supporting services,48.8
2003-Q4,services,transport and storage,water transport and supporting services,45.2
2003-Q4,services,transport and storage,air transport and supporting services,43.7
2003-Q4,services,transport and storage,other transport and storage services,46.8
2003-Q4,services,hotels and restaurants,hotels,45.7
2003-Q4,services,hotels and restaurants,restaurants,35.2
2003-Q4,services,information and communications,broadcasting and publishing,42
2003-Q4,services,information and communications,telecommunications,42.6
2003-Q4,services,information and communications,it and other information services,41.8
2003-Q4,services,financial services,financial institutions,43
2003-Q4,services,financial services,insurance,39.9
2003-Q4,services,real estate and leasing services,real estate and leasing services,45.1
2003-Q4,services,professional services,"legal, accounting and management services",41.7
2003-Q4,services,professional services,architectural and engineering services,46.7
2003-Q4,services,professional services,other professional services,42.3
2003-Q4,services,administrative and support services,administrative and support services,50.3
2003-Q4,services,"community, social and personal services",education,38.2
2003-Q4,services,"community, social and personal services","health, social and community services",41.5
2003-Q4,services,"community, social and personal services","other community, social and personal services",43.7
2003-Q4,others,others,others,46.4
2004-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",46.3
2004-Q1,manufacturing,paper products and printing,paper products and printing,50.4
2004-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",45.2
2004-Q1,manufacturing,rubber and plastic products,rubber and plastic products,50.7
2004-Q1,manufacturing,fabricated metal products,fabricated metal products,51.5
2004-Q1,manufacturing,machinery and equipment,machinery and equipment,51
2004-Q1,manufacturing,electrical products,electrical products,48.2
2004-Q1,manufacturing,electronic products,electronic products,48
2004-Q1,manufacturing,medical and precision instruments,medical and precision instruments,49
2004-Q1,manufacturing,transport equipment,transport equipment,52.6
2004-Q1,manufacturing,other manufacturing industries,other manufacturing industries,49.6
2004-Q1,construction,construction,construction,51.6
2004-Q1,services,wholesale and retail trade,wholesale trade,43.5
2004-Q1,services,wholesale and retail trade,retail trade,42.8
2004-Q1,services,transport and storage,land transport and supporting services,47.4
2004-Q1,services,transport and storage,water transport and supporting services,45.4
2004-Q1,services,transport and storage,air transport and supporting services,44.7
2004-Q1,services,transport and storage,other transport and storage services,46.7
2004-Q1,services,hotels and restaurants,hotels,45.4
2004-Q1,services,hotels and restaurants,restaurants,35
2004-Q1,services,information and communications,broadcasting and publishing,42
2004-Q1,services,information and communications,telecommunications,42.6
2004-Q1,services,information and communications,it and other information services,41.4
2004-Q1,services,financial services,financial institutions,43.5
2004-Q1,services,financial services,insurance,40
2004-Q1,services,real estate and leasing services,real estate and leasing services,44.4
2004-Q1,services,professional services,"legal, accounting and management services",42
2004-Q1,services,professional services,architectural and engineering services,47.2
2004-Q1,services,professional services,other professional services,42.6
2004-Q1,services,administrative and support services,administrative and support services,49.3
2004-Q1,services,"community, social and personal services",education,38.5
2004-Q1,services,"community, social and personal services","health, social and community services",41.7
2004-Q1,services,"community, social and personal services","other community, social and personal services",43.3
2004-Q1,others,others,others,46.4
2004-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",47.2
2004-Q2,manufacturing,paper products and printing,paper products and printing,51.8
2004-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",46
2004-Q2,manufacturing,rubber and plastic products,rubber and plastic products,50.9
2004-Q2,manufacturing,fabricated metal products,fabricated metal products,51.6
2004-Q2,manufacturing,machinery and equipment,machinery and equipment,51.9
2004-Q2,manufacturing,electrical products,electrical products,49.2
2004-Q2,manufacturing,electronic products,electronic products,47.7
2004-Q2,manufacturing,medical and precision instruments,medical and precision instruments,48.9
2004-Q2,manufacturing,transport equipment,transport equipment,53.2
2004-Q2,manufacturing,other manufacturing industries,other manufacturing industries,50.6
2004-Q2,construction,construction,construction,51.9
2004-Q2,services,wholesale and retail trade,wholesale trade,43.6
2004-Q2,services,wholesale and retail trade,retail trade,42.9
2004-Q2,services,transport and storage,land transport and supporting services,47.5
2004-Q2,services,transport and storage,water transport and supporting services,45.7
2004-Q2,services,transport and storage,air transport and supporting services,43.8
2004-Q2,services,transport and storage,other transport and storage services,47.1
2004-Q2,services,hotels and restaurants,hotels,45.4
2004-Q2,services,hotels and restaurants,restaurants,35.1
2004-Q2,services,information and communications,broadcasting and publishing,41.7
2004-Q2,services,information and communications,telecommunications,42.4
2004-Q2,services,information and communications,it and other information services,41.5
2004-Q2,services,financial services,financial institutions,43.1
2004-Q2,services,financial services,insurance,39.7
2004-Q2,services,real estate and leasing services,real estate and leasing services,44.6
2004-Q2,services,professional services,"legal, accounting and management services",42
2004-Q2,services,professional services,architectural and engineering services,47.2
2004-Q2,services,professional services,other professional services,42.5
2004-Q2,services,administrative and support services,administrative and support services,50.3
2004-Q2,services,"community, social and personal services",education,38.5
2004-Q2,services,"community, social and personal services","health, social and community services",41.8
2004-Q2,services,"community, social and personal services","other community, social and personal services",43.4
2004-Q2,others,others,others,46.4
2004-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",47.1
2004-Q3,manufacturing,paper products and printing,paper products and printing,51.1
2004-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",45.3
2004-Q3,manufacturing,rubber and plastic products,rubber and plastic products,50.8
2004-Q3,manufacturing,fabricated metal products,fabricated metal products,52.2
2004-Q3,manufacturing,machinery and equipment,machinery and equipment,51.6
